"id";"job_title";"job_salary";"job_requirement";"job_addr";"job_exp";"job_edu";"job_tags";"company_name";"company_employee_num";"company_type"
128;"python/机器学习开发";"10K-20K";"我们深耕法律行业的互联网化，有强大的法律从业背景及海归互联网精英。你将和同我们一起构建互联网体系，颠覆法律行业！要求学习能力极强，愿意explore the unknowns，愿意接受挑战！";"深圳 南山区 大冲";"经验不限";"本科";"Python";"牛法网";"20-99人";"互联网"
129;"Python开发运维工程师";"8K-15K";"岗位职责：";"深圳 南山区 科技园";"1-3年";"本科";"Linux";"傲天科技";"100-499人";"计算机软件"
130;"Python开发工程师";"8K-13K";"岗位职责：负责金融系统设计、开发等工作。";"深圳 南山区 大冲";"1-3年";"本科";"Python";"亿达信息";"1000-9999人";"计算机软件"
131;"python开发工程师";"8K-16K";"岗位职责：";"深圳 南山区 西丽";"1-3年";"大专";"Python";"SheIn";"1000-9999人";"电子商务"
132;"Python开发工程师";"12K-20K";"岗位职责：";"深圳 南山区";"经验不限";"大专";"Python";"博雅互动";"500-999人";"游戏"
133;"Python开发工程师";"15K-18K";"任职要求：";"深圳 南山区 南油";"3-5年";"本科";"python爬虫";"布谷鸟科技";"500-999人";"移动互联网"
134;"Python开发工程师";"8K-13K";"岗位职责：负责金融系统设计、开发等工作。";"深圳 南山区 大冲";"1-3年";"本科";"C/C++";"亿达信息";"1000-9999人";"计算机软件"
135;"Python";"15K-30K";"python岗位职责：";"深圳 南山区 新安";"1-3年";"大专";"Python";"博雅互动";"500-999人";"游戏"
136;"python开发工程师";"10K-20K";"岗位职责：";"深圳 南山区";"3-5年";"本科";"Python";"博雅互动";"500-999人";"游戏"
137;"Python";"10K-20K";"游戏爱好者，具备扎实的计算机系统结构、数据结构等基础知识，熟悉TCP、HTTP等网络协议";"深圳 南山区 科技园";"1-3年";"本科";"后端开发";"途游游戏";"100-499人";"游戏"
138;"Python开发工程师";"18K-36K";"岗位职责：";"深圳 盐田区 沙头角";"1-3年";"本科";"Python";"码隆科技";"20-99人";"移动互联网"
139;"Python后台开发";"15K-30K";"岗位职责:";"深圳 南山区 科技园";"3-5年";"本科";"Python";"AKULAKU";"100-499人";"互联网金融"
140;"Python工程师";"15K-20K";"任职资格：";"深圳 南山区 科技园";"1-3年";"大专";"Python";"企保招招";"100-499人";"互联网金融"
141;"Python工程师";"15K-20K";"1、熟练使用python语言编程，有调用python数据分析包的经验，最好是pandas和numpy库";"深圳 宝安区";"1-3年";"大专";"Python";"赛意信息科技";"1000-9999人";"计算机软件"
142;"Python/c++开发";"12K-18K";"任职要求：";"深圳 福田区 八卦岭";"3-5年";"本科";"Python";"金证股份";"1000-9999人";"计算机软件"
143;"后台开发（python）";"12K-17K";"1、本科及以上学历、计算机及通信类专业；                                           2、具有3年以上Python、C++经验、熟练掌握tornado等框架；";"深圳 福田区 八卦岭";"3-5年";"本科";"Python";"金证股份";"1000-9999人";"计算机软件"
144;"Python开发工程师";"12K-18K";"1、本科及以上学历、计算机及通信类专业；                                           2、具有3年以上Python、C++经验、熟练掌握tornado等框架；";"深圳 福田区 八卦岭";"3-5年";"本科";"Python";"金证股份";"1000-9999人";"计算机软件"
145;"Python 后端开发工程师";"10K-15K";"职位描述:";"深圳 南山区 蛇口";"1-3年";"本科";"Python";"游滨果";"0-20人";"互联网"
146;"python开发工程师";"10K-18K";"1.计算机相关专业本科以上学历";"深圳 南山区 南油";"5-10年";"本科";"Linux";"国文科技";"100-499人";"互联网"
147;"Python开发工程师";"10K-20K";"岗位职责：";"深圳 南山区";"经验不限";"大专";"Web应用";"博雅互动";"500-999人";"游戏"
148;"Python运维开发";"20K-40K";"岗位名称：  Python开发工程师（DevOPS方向）";"深圳 南山区";"经验不限";"本科";"运维经验";"凌扬盛达";"20-99人";"数据服务"
149;"Python工程师";"10K-20K";"1、熟练使用python语言编程，有调用python数据分析包的经验，最好是pandas和numpy库";"深圳 宝安区";"1-3年";"大专";"Python";"SIE";"1000-9999人";"计算机软件"
150;"腾讯云开发者服务后台开发工程师（Python）";"20K-40K";"薪资职级面议";"深圳 南山区 科技园";"3-5年";"本科";"Python";"腾讯";"10000人以上";"互联网"
151;"python开发工程师";"10K-15K";"【任职要求】";"深圳 福田区 上步";"3-5年";"大专";"Python";"亿腾信息";"100-499人";"互联网"
152;"高级Python";"25K-40K";"工作职责：";"深圳 南山区 科技园";"5-10年";"不限";"Linux";"永安科技";"20-99人";"信息安全"
153;"高级python开发工程师";"10K-20K";"岗位职责：";"深圳 南山区 前海";"3-5年";"大专";"Python";"瑞云科技";"100-499人";"互联网"
154;"python开发";"8K-12K";"要求：";"深圳 福田区 购物公园";"1-3年";"大专";"Python";"南京融翼";"500-999人";"计算机软件"
155;"Python软件开发工程师";"15K-20K";"岗位职责：";"深圳 南山区";"1-3年";"本科";"Linux";"深信服科技";"1000-9999人";"计算机软件"
156;"算法工程师（Python语言）";"15K-25K";"岗位职责";"深圳 宝安区";"3-5年";"本科";"Python";"赛意信息科技";"1000-9999人";"计算机软件"
157;"python工程师";"10K-18K";"1、本科及以上学历、计算机及通信类专业；                                           2、具有3年以上Python、C++经验、熟练掌握tornado等框架；";"深圳 福田区 八卦岭";"3-5年";"本科";"java爬虫";"金证股份";"1000-9999人";"计算机软件"
158;"Python";"10K-15K";"岗位职责：";"深圳 南山区 深圳湾";"3-5年";"大专";"Python";"法本电子";"100-499人";"其他行业"
159;"Python";"6K-7K";"1. 精通python语言，了解 Django、Tornado 等框架中的一种";"深圳";"1-3年";"本科";"Python";"深圳市瑞驰信息";"100-499人";"计算机软件"
160;"python开发工程师";"18K-36K";"岗位要求：";"深圳 龙岗区";"3-5年";"本科";"Linux";"华为";"10000人以上";"计算机软件"
161;"Python";"15K-30K";"工作内容涵盖网页服务编写，以及机器人协议的维护。";"深圳 南山区 科技园";"1-3年";"本科";"后端开发";"群秘";"0-20人";"社交网络"
162;"Python";"10K-20K";"1. 负责公司重要新产品的数据采集";"深圳 南山区";"经验不限";"大专";"数据抓取";"才是科技";"0-20人";"互联网"
163;"Python高级爬虫工程师";"15K-25K";"岗位职责：";"深圳";"5-10年";"大专";"Python";"飞钛科技";"100-499人";"互联网金融"
164;"Python工程师";"9K-16K";"职位描述：";"深圳 南山区 科技园";"3-5年";"本科";"Python";"宸睿科技";"0-20人";"在线教育"
165;"高级后台开发工程师（GO/java/python)）";"16K-30K";"职位描述：";"深圳 南山区 西丽";"3-5年";"本科";"GO";"Anker";"500-999人";"电子商务"
166;"Python";"15K-30K";"岗位：高级后端开发工程师（数据库及Python）";"深圳 福田区 车公庙";"3-5年";"本科";"数据库";"云图智联";"0-20人";"计算机软件"
167;"Python";"15K-25K";"1.负责python教学";"深圳 宝安区";"3-5年";"本科";"Python";"千锋互联科技";"500-999人";"在线教育"
